name_en,net_bike_change_15min,frequency,probability
1st,-4,4,0.037383177570093455
1st,-3,4,0.037383177570093455
1st,-2,8,0.07476635514018691
1st,-1,21,0.19626168224299065
1st,0,42,0.3925233644859813
1st,1,19,0.17757009345794392
1st,2,6,0.056074766355140186
1st,3,2,0.018691588785046728
1st,4,1,0.009345794392523364
2nd,-2,2,0.018691588785046728
2nd,-1,24,0.22429906542056074
2nd,0,64,0.5981308411214953
2nd,1,12,0.11214953271028037
2nd,2,4,0.037383177570093455
2nd,3,1,0.009345794392523364
3rd,-2,1,0.009345794392523364
3rd,-1,17,0.1588785046728972
3rd,0,75,0.7009345794392523
3rd,1,10,0.09345794392523364
3rd,2,4,0.037383177570093455
4th,-1,3,0.028037383177570093
4th,0,99,0.9252336448598131
4th,1,5,0.04672897196261682
5th,-1,8,0.07476635514018691
5th,0,90,0.8411214953271028
5th,1,8,0.07476635514018691
5th,2,1,0.009345794392523364
6th,-2,1,0.009345794392523364
6th,-1,18,0.16822429906542055
6th,0,65,0.6074766355140186
6th,1,18,0.16822429906542055
6th,2,5,0.04672897196261682
7th,-1,20,0.18691588785046728
7th,0,67,0.6261682242990654
7th,1,16,0.14953271028037382
7th,2,3,0.028037383177570093
7th,3,1,0.009345794392523364
