scenario_id,sampled_historical_slot,name_en,stochastic_net_bike_change_15min,stochastic_demand_15min,stochastic_return_15min
1,2026-05-20 06:50:00,1st,0,0,0
1,2026-05-20 06:50:00,2nd,-1,1,0
1,2026-05-20 06:50:00,3rd,0,0,0
1,2026-05-20 06:50:00,4th,0,0,0
1,2026-05-20 06:50:00,5th,0,0,0
1,2026-05-20 06:50:00,6th,-2,2,0
1,2026-05-20 06:50:00,7th,-1,1,0
2,2026-05-21 00:50:00,1st,-1,4,3
2,2026-05-21 00:50:00,2nd,1,0,1
2,2026-05-21 00:50:00,3rd,0,3,3
2,2026-05-21 00:50:00,4th,1,0,1
2,2026-05-21 00:50:00,5th,0,0,0
2,2026-05-21 00:50:00,6th,0,0,0
2,2026-05-21 00:50:00,7th,0,0,0
3,2026-05-20 22:20:00,1st,-4,4,0
3,2026-05-20 22:20:00,2nd,0,0,0
3,2026-05-20 22:20:00,3rd,1,0,1
3,2026-05-20 22:20:00,4th,0,0,0
3,2026-05-20 22:20:00,5th,0,0,0
3,2026-05-20 22:20:00,6th,-1,1,0
3,2026-05-20 22:20:00,7th,-1,2,1
4,2026-05-20 07:50:00,1st,0,1,1
4,2026-05-20 07:50:00,2nd,-1,1,0
4,2026-05-20 07:50:00,3rd,0,0,0
4,2026-05-20 07:50:00,4th,0,0,0
4,2026-05-20 07:50:00,5th,0,0,0
4,2026-05-20 07:50:00,6th,0,1,1
4,2026-05-20 07:50:00,7th,1,0,1
5,2026-05-21 08:05:00,1st,1,1,2
5,2026-05-21 08:05:00,2nd,0,0,0
5,2026-05-21 08:05:00,3rd,0,0,0
5,2026-05-21 08:05:00,4th,0,0,0
5,2026-05-21 08:05:00,5th,0,0,0
5,2026-05-21 08:05:00,6th,0,1,1
5,2026-05-21 08:05:00,7th,0,1,1
6,2026-05-20 12:20:00,1st,0,0,0
6,2026-05-20 12:20:00,2nd,-1,1,0
6,2026-05-20 12:20:00,3rd,0,0,0
6,2026-05-20 12:20:00,4th,1,0,1
6,2026-05-20 12:20:00,5th,0,0,0
6,2026-05-20 12:20:00,6th,1,1,2
6,2026-05-20 12:20:00,7th,0,0,0
7,2026-05-20 13:20:00,1st,-1,1,0
7,2026-05-20 13:20:00,2nd,0,0,0
7,2026-05-20 13:20:00,3rd,-2,2,0
7,2026-05-20 13:20:00,4th,0,0,0
7,2026-05-20 13:20:00,5th,0,0,0
7,2026-05-20 13:20:00,6th,-1,1,0
7,2026-05-20 13:20:00,7th,0,0,0
8,2026-05-20 11:20:00,1st,-4,4,0
8,2026-05-20 11:20:00,2nd,1,0,1
8,2026-05-20 11:20:00,3rd,0,0,0
8,2026-05-20 11:20:00,4th,0,0,0
8,2026-05-20 11:20:00,5th,0,0,0
8,2026-05-20 11:20:00,6th,0,1,1
8,2026-05-20 11:20:00,7th,0,0,0
9,2026-05-20 15:20:00,1st,-3,11,8
9,2026-05-20 15:20:00,2nd,-2,2,0
9,2026-05-20 15:20:00,3rd,0,0,0
9,2026-05-20 15:20:00,4th,0,0,0
9,2026-05-20 15:20:00,5th,0,0,0
9,2026-05-20 15:20:00,6th,1,0,1
9,2026-05-20 15:20:00,7th,0,0,0
10,2026-05-20 11:05:00,1st,1,5,6
10,2026-05-20 11:05:00,2nd,-1,1,0
10,2026-05-20 11:05:00,3rd,0,0,0
10,2026-05-20 11:05:00,4th,0,0,0
10,2026-05-20 11:05:00,5th,0,0,0
10,2026-05-20 11:05:00,6th,1,1,2
10,2026-05-20 11:05:00,7th,0,0,0
11,2026-05-20 15:50:00,1st,-3,5,2
11,2026-05-20 15:50:00,2nd,-1,1,0
11,2026-05-20 15:50:00,3rd,0,0,0
11,2026-05-20 15:50:00,4th,0,0,0
11,2026-05-20 15:50:00,5th,0,0,0
11,2026-05-20 15:50:00,6th,1,1,2
11,2026-05-20 15:50:00,7th,-1,2,1
12,2026-05-21 05:20:00,1st,1,0,1
12,2026-05-21 05:20:00,2nd,0,0,0
12,2026-05-21 05:20:00,3rd,0,0,0
12,2026-05-21 05:20:00,4th,0,0,0
12,2026-05-21 05:20:00,5th,0,0,0
12,2026-05-21 05:20:00,6th,0,1,1
12,2026-05-21 05:20:00,7th,0,0,0
13,2026-05-20 18:35:00,1st,-4,6,2
13,2026-05-20 18:35:00,2nd,0,0,0
13,2026-05-20 18:35:00,3rd,0,0,0
13,2026-05-20 18:35:00,4th,0,0,0
13,2026-05-20 18:35:00,5th,0,0,0
13,2026-05-20 18:35:00,6th,0,0,0
13,2026-05-20 18:35:00,7th,0,0,0
14,2026-05-21 08:35:00,1st,0,1,1
14,2026-05-21 08:35:00,2nd,0,1,1
14,2026-05-21 08:35:00,3rd,0,0,0
14,2026-05-21 08:35:00,4th,0,0,0
14,2026-05-21 08:35:00,5th,0,0,0
14,2026-05-21 08:35:00,6th,0,0,0
14,2026-05-21 08:35:00,7th,0,0,0
15,2026-05-20 18:35:00,1st,-4,6,2
15,2026-05-20 18:35:00,2nd,0,0,0
15,2026-05-20 18:35:00,3rd,0,0,0
15,2026-05-20 18:35:00,4th,0,0,0
15,2026-05-20 18:35:00,5th,0,0,0
15,2026-05-20 18:35:00,6th,0,0,0
15,2026-05-20 18:35:00,7th,0,0,0
16,2026-05-20 13:50:00,1st,0,2,2
16,2026-05-20 13:50:00,2nd,-1,1,0
16,2026-05-20 13:50:00,3rd,0,0,0
16,2026-05-20 13:50:00,4th,0,0,0
16,2026-05-20 13:50:00,5th,0,0,0
16,2026-05-20 13:50:00,6th,1,3,4
16,2026-05-20 13:50:00,7th,3,0,3
17,2026-05-21 04:50:00,1st,0,0,0
17,2026-05-21 04:50:00,2nd,-1,1,0
17,2026-05-21 04:50:00,3rd,0,0,0
17,2026-05-21 04:50:00,4th,0,0,0
17,2026-05-21 04:50:00,5th,0,0,0
17,2026-05-21 04:50:00,6th,-1,1,0
17,2026-05-21 04:50:00,7th,0,0,0
18,2026-05-21 05:35:00,1st,-1,1,0
18,2026-05-21 05:35:00,2nd,-1,1,0
18,2026-05-21 05:35:00,3rd,0,0,0
18,2026-05-21 05:35:00,4th,0,0,0
18,2026-05-21 05:35:00,5th,0,0,0
18,2026-05-21 05:35:00,6th,0,1,1
18,2026-05-21 05:35:00,7th,0,0,0
19,2026-05-21 06:50:00,1st,1,0,1
19,2026-05-21 06:50:00,2nd,0,0,0
19,2026-05-21 06:50:00,3rd,0,2,2
